,x,y,z,
1,-0.08087769,0.35274048,9.5139648,1
2,3.244024612,-2.67271117,10.7684202,1
3,5.39730834,-6.04141228,1.359289564,1
4,6.883136,-7.67910764,-2.288867226,1
5,1.360675097,-9.300616494,0.48045652,1
6,-2.18560182,-4.67222286,1.844885232,1
7,-2.42601928,-4.817425488,-3.639013628,1
8,4.1752258,-4.473699986,0.470935052,1
9,4.17617792,-4.308978198,-2.65211176,1
10,9.36253034,-7.00784306,0.928442362,1
11,12.37179546,-18.03015154,7.661083938,1
12,6.22662946,-15.73309332,7.488745,1
13,-1.69381708,-10.04971932,-2.67972406,1
14,-0.186566244,-2.852667292,-0.38742678,1
15,-0.6231262,-8.693621732,4.7398926,1
16,4.91456912,-7.420123154,4.7189454,1
17,12.981647,-13.07517086,1.00842286,1
18,5.689142,-18.26390394,11.45920406,1
19,-1.77046508,-9.37845466,-3.8741944,1
20,-2.93827506,-0.37755736,-0.554052704,1
21,0.26522822,-1.599163786,-3.72423099,1
22,7.6324768,-3.24209594,0.099121096,1
23,17.4648376,-13.28988038,6.980774,1
24,17.46674174,-19.9087402,0.093884331,1
25,1.44303598,-10.02758178,-4.220776281,1
26,-2.25891734,-0.47753299,-1.53048098,1
27,9.94286506,-1.93241578,-2.77731944,1
28,11.99141238,-3.89003304,-3.6018798,1
29,9.564386044,-10.57601932,-5.31098626,1
30,3.552520844,-1.02359008,-1.30101314,1
31,11.24064326,-6.39703984,-2.32171636,1
32,3.22045894,-7.743853652,-5.77468278,1
33,8.54749134,-2.891705452,-2.68734134,1
34,20.108954,-9.1061402,2.6525452,1
35,6.46252444,-0.67224728,4.92770379,1
36,4.40755,3.064697392,4.25596319,1
37,20.76022322,-12.26774878,1.20051882,1
38,13.46890857,-2.703893956,1.76633302,1
39,-8.76280507,-6.14400634,-3.496667421,1
40,11.11614988,-7.30562732,-3.36146236,1
41,3.80126962,-7.121862626,-3.342181386,1
42,19.2865358,-13.14705802,-0.37528688,1
43,6.33588872,3.09421392,4.31118782,1
44,8.03523552,0.10089732,3.06149294,1
45,26.5735656,-12.8245178,1.64421988,1
46,5.3051881,-5.27540896,-1.06678467,1
47,-9.55808722,-4.31040652,-4.1593628,1
48,13.49699708,-4.19472054,7.3159303,1
49,2.65202642,-7.16637565,-2.8558715,1
50,20.8252075,-10.53293453,3.12290646,1
51,3.159045428,6.8892395,3.719189439,1
52,5.466577088,-7.2430235,4.99245,1
53,22.7847291,-8.980218532,-0.23865354,1
54,-1.9068602,-3.778393572,0.843463143,1
55,-4.74092994,-3.84742434,-1.5464294,1
56,18.9575684,-7.342047252,2.1243408,1
57,9.29730826,-11.0444762,-9.2519288,1
58,14.81596066,-5.17924184,8.07788696,1
59,3.99336556,3.508398474,2.906530704,1
60,17.4293702,-12.36415401,2.79298708,1
61,14.02662964,-1.56726672,-1.44645384,1
62,-8.30648796,-7.08282466,-3.9322753,1
63,9.998565584,-0.82792354,1.42570182,1
64,8.43275754,-9.29752204,-5.55592666,1
65,23.0463317,-9.8628601,-4.46214608,1
66,4.86291504,2.3165466,4.26262808,1
67,3.62393194,0.33250728,2.96294556,1
68,24.5112122,-11.119696,-0.05750732,1
69,8.84479964,-3.157830822,0.31835328,1
70,-10.75255728,-5.45084236,-3.90275881,1
71,11.38084724,-2.29780276,0.95629286,1
72,8.8109986,-9.04163212,-1.05345444,1
73,19.7004824,-11.5779175,1.11887216,1
74,6.0569093,1.35273434,3.44020994,1
75,5.353985474,2.57600692,3.45806274,1
76,22.476709,-11.37201562,2.421411108,1
77,4.19522098,2.44651492,3.916284144,1
78,7.2197204,-0.14094854,1.951287854,1
79,24.7835268,-11.06447172,0.874645994,1
80,5.75484012,-4.1242615,-0.464074712,1
81,0.7884338,-3.18187256,1.818463204,1
82,17.84522094,-6.60556022,0.42380366,1
83,9.25874648,-5.05855712,-7.44855972,1
84,15.8928404,-7.31015014,8.65131818,1
85,3.41802982,4.35033572,4.7517944,1
86,12.19374382,-6.02070324,3.321667496,1
87,21.7861636,-6.24731452,0.70611572,1
88,2.82150884,-0.354943835,-0.086309826,1
89,5.393499692,-3.748400896,3.580175686,1
90,11.6472105,-4.58414916,-1.3331484,1
91,18.5426696,-0.76627208,3.0741088,1
92,9.51392212,-3.5317871,4.84153452,1
93,3.69653322,3.8823546,1.067694104,1
94,8.49321908,-6.43536384,-0.952764896,1
95,17.9173462,-6.23207994,1.70420524,1
96,3.45230706,-4.7100708,0.46165162,1
97,4.7774597,0.97663572,-1.3505249,1
98,14.67099604,-11.60362504,3.12266844,1
99,18.8061767,-3.19496462,-0.5442933,1
100,16.568866,-5.268029814,4.01554566,1
101,4.07786862,1.019244359,-0.56024168,1
102,4.77365108,1.17277832,-0.51120588,1
103,24.3738648,-9.26967168,0.1181641,1
104,12.16470346,-5.011663726,4.32332764,1
105,-6.103930764,-3.39920048,-0.83707894,1
106,6.178546116,-1.92075192,0.457843,1
107,14.22086804,-14.76571032,-2.798980728,1
108,20.55075088,-6.86145018,4.613018722,1
109,7.44895026,2.20490704,3.02245484,1
110,7.21210318,2.03518682,1.16671754,1
111,24.1855773,-14.32177114,0.097454741,1
112,10.94523944,-2.82434081,0.532586661,1
113,-10.55974714,-4.47798464,-4.5297485,1
114,12.46463004,-1.7729309,0.3552489,1
115,5.26495998,-11.2429993,-2.42526254,1
116,19.39460454,-6.860974242,-4.41001584,1
117,7.01143804,0.42200926,5.570880116,1
118,4.4489686,-0.354229776,-1.567614832,1
119,18.56076054,-8.30395498,-1.66616216,1
120,7.5353578,0.188970946,4.59992678,1
121,1.962194828,0.647192377,3.51376344,1
122,22.45909428,-12.60528584,-0.335534676,1
123,7.37730088,-0.65201416,1.16909789,1
124,-9.1691345,-6.77337648,-4.363836574,1
125,12.20445578,-1.46395864,0.701830916,1
126,4.455871566,-10.33250718,-5.7411194,1
127,23.04823604,-8.04758914,-0.914917,1
128,4.75817867,0.237530526,4.85700692,1
129,17.81879886,-11.01614986,0.831085232,1
130,6.49204106,-0.721759014,1.04722292,1
131,0.05599364,-4.30493156,-1.06583242,1
132,10.12543936,-6.5072511,-7.0810301,1
133,12.81740132,-3.659613064,3.92199706,1
134,11.4408326,-3.44371342,3.014123484,1
135,-1.05254506,-4.44561153,-2.462396147,1
136,4.7648437,-2.26352541,-2.37741694,1
137,15.78381978,-4.68983763,-3.114618032,1
138,5.963122566,0.45819092,3.789648448,1
139,17.06564976,-10.79358538,0.778955014,1
140,-3.59930418,-5.53843994,-1.57951652,1
141,6.28185414,-2.81362916,-2.88038936,1
142,16.25727556,-6.54129006,-8.68730462,1
143,4.6874817,-1.18545524,3.81345213,1
144,15.2387145,-5.47821652,-0.537152096,1
145,4.0781067,-4.802905254,-0.642840452,1
146,11.71219495,-1.842913856,-4.84681388,1
147,10.58556517,-6.164477572,11.26258532,1
148,5.9638367,0.26704718,2.78608394,1
149,11.0749696,-4.264227412,3.480200088,1
150,25.2900696,-9.133514512,2.47949206,1
151,-0.98208626,-1.15022582,-0.226513662,1
152,13.4129698,-0.09000852,3.185986376,1
