,x,y,z,
1,2.193804927,0.779779055,8.95195938,0
2,2.761761478,-1.617492678,9.07121594,0
3,2.954095481,0.755499267,7.90007328,0
4,5.15998537,4.488397217,5.53160404,0
5,6.51227417,3.092547608,4.56469726,0
6,5.81196898,-2.728411872,4.49923704,0
7,4.586315875,-7.01617434,3.239068595,0
8,3.251879875,-7.76075445,2.393560815,0
9,1.103594971,-8.32323601,1.455932641,0
10,-0.661212165,-8.72337647,1.535198986,0
11,-1.357708755,-9.364886494,3.538995356,0
12,-0.004467773,-8.031640614,5.84700323,0
13,0.963629156,-7.573895214,5.40234992,0
14,0.763677975,-7.837402255,4.85248408,0
15,-0.268450948,-8.318951295,4.97412103,0
16,0.72773435,-9.429870535,5.32522584,0
17,0.68512572,-8.032592695,5.84676517,0
18,1.4611267,-7.012365725,6.25380862,0
19,2.68273314,-6.443695157,6.2076294,0
20,3.15547486,-7.855017197,6.31760259,0
21,3.27401739,-9.885235727,7.30974123,0
22,1.86483768,-9.42606203,6.52874152,0
23,0.533972191,-8.87333999,6.91055297,0
24,-1.434832779,-6.68815928,6.01577133,0
25,-0.531481919,-8.32299811,7.1076476,0
26,0.95767822,-7.01903072,7.78486324,0
27,1.38495483,-5.24898681,8.3292542,0
28,1.636560045,-4.0488037,7.81390392,0
29,1.543011475,-5.07402957,7.37853401,0
30,0.978387462,-5.975,7.30902709,0
31,0.903405769,-7.16090089,6.26404411,0
32,1.298666382,-5.94060367,5.69465932,0
33,1.926013186,-6.98058779,6.63276363,0
34,1.964218154,-8.82001951,7.04432985,0
35,0.984100359,-10.5750671,7.52742614,0
36,0.623712165,-9.46997977,6.33735962,0
37,-0.609558115,-9.58887923,6.68894049,0
38,0.60752563,-8.45046677,5.69596863,0
39,1.830560307,-8.48176868,5.86818851,0
40,1.653817749,-8.04437548,7.15263677,0
41,2.004922484,-5.80885009,5.87235415,0
42,2.340078745,-4.54499205,6.01803285,0
43,1.146084599,-2.91336673,5.20561217,0
44,1.036825555,-3.78232119,5.01863402,0
45,1.449224856,-7.14388129,6.76023256,0
46,2.19320985,-9.99544675,7.83675541,0
